adv_step: 1780, nll_gen: 0.7334, bleu2: 0.7642, bleu3: 0.5371, bleu4: 0.3456, bleu5: 0.2140
adv_step: 1800, nll_gen: 0.7334, bleu2: 0.7692, bleu3: 0.5510, bleu4: 0.3463, bleu5: 0.2187
adv_step: 1820, nll_gen: 0.7337, bleu2: 0.7609, bleu3: 0.5265, bleu4: 0.3428, bleu5: 0.2215
adv_step: 1840, nll_gen: 0.7339, bleu2: 0.7671, bleu3: 0.5559, bleu4: 0.3587, bleu5: 0.2220
adv_step: 1860, nll_gen: 0.7340, bleu2: 0.7193, bleu3: 0.4781, bleu4: 0.3070, bleu5: 0.1939
adv_step: 1880, nll_gen: 0.7343, bleu2: 0.7617, bleu3: 0.5378, bleu4: 0.3445, bleu5: 0.2235
adv_step: 1900, nll_gen: 0.7347, bleu2: 0.7526, bleu3: 0.5275, bleu4: 0.3315, bleu5: 0.2109
adv_step: 1920, nll_gen: 0.7349, bleu2: 0.7529, bleu3: 0.5231, bleu4: 0.3341, bleu5: 0.2105
adv_step: 1940, nll_gen: 0.7351, bleu2: 0.7645, bleu3: 0.5306, bleu4: 0.3364, bleu5: 0.2211
adv_step: 1960, nll_gen: 0.7350, bleu2: 0.7753, bleu3: 0.5463, bleu4: 0.3702, bleu5: 0.2400
adv_step: 1980, nll_gen: 0.7350, bleu2: 0.7383, bleu3: 0.5110, bleu4: 0.3308, bleu5: 0.2109
